review_id,annotation_id,reason,frame_paths,current_assessment,question,response_status,corrected_element_type,corrected_map_side,corrected_lane_color,corrected_element_team,notes
MR91119257-002,E002,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000005_0000024000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000006_0000025000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000007_0000027500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000008_0000030000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000009_0000031000ms.png,directly_visible,Does the frame independently support the annotation?,,,,,,
MR91119257-002,E002,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000005_0000024000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000006_0000025000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000007_0000027500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000008_0000030000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000009_0000031000ms.png,directly_visible,Does the frame support a side/lane alias?,,,,,,
MR91119257-003,E003,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000010_0000044000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000011_0000045000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000012_0000047500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000013_0000050000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000014_0000051000ms.png,directly_visible,"Is the target Guardian, Walker, base structure, Patron, shop, camp, teleporter, or another element?",,,,,,
MR91119257-003,E003,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000010_0000044000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000011_0000045000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000012_0000047500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000013_0000050000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000014_0000051000ms.png,directly_visible,Does the target belong to Archmother or Hidden King?,,,,,,
MR91119257-003,E003,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000010_0000044000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000011_0000045000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000012_0000047500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000013_0000050000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000014_0000051000ms.png,directly_visible,"Is this the Green, Blue, or Yellow lane?",,,,,,
MR91119257-003,E003,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000010_0000044000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000011_0000045000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000012_0000047500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000013_0000050000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000014_0000051000ms.png,directly_visible,Is the target identity visually confirmed or only inferred from route order?,,,,,,
MR91119257-003,E003,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000010_0000044000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000011_0000045000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000012_0000047500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000013_0000050000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000014_0000051000ms.png,directly_visible,Does the frame independently support the annotation?,,,,,,
MR91119257-003,E003,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000010_0000044000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000011_0000045000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000012_0000047500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000013_0000050000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000014_0000051000ms.png,directly_visible,Does the frame support a side/lane alias?,,,,,,
MR91119257-004,E004,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000015_0000059000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000016_0000060000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000017_0000062500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000018_0000065000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000019_0000066000ms.png,directly_visible,"Is the target Guardian, Walker, base structure, Patron, shop, camp, teleporter, or another element?",,,,,,
MR91119257-004,E004,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000015_0000059000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000016_0000060000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000017_0000062500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000018_0000065000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000019_0000066000ms.png,directly_visible,Does the target belong to Archmother or Hidden King?,,,,,,
MR91119257-004,E004,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000015_0000059000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000016_0000060000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000017_0000062500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000018_0000065000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000019_0000066000ms.png,directly_visible,"Is this the Green, Blue, or Yellow lane?",,,,,,
MR91119257-004,E004,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000015_0000059000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000016_0000060000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000017_0000062500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000018_0000065000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000019_0000066000ms.png,directly_visible,Is the target identity visually confirmed or only inferred from route order?,,,,,,
MR91119257-004,E004,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000015_0000059000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000016_0000060000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000017_0000062500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000018_0000065000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000019_0000066000ms.png,directly_visible,Does the frame independently support the annotation?,,,,,,
MR91119257-004,E004,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000015_0000059000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000016_0000060000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000017_0000062500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000018_0000065000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000019_0000066000ms.png,directly_visible,Does the frame support a side/lane alias?,,,,,,
MR91119257-005,E006,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000025_0000079000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000026_0000080000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000027_0000082500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000028_0000085000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000029_0000086000ms.png,directly_visible,"Is the target Guardian, Walker, base structure, Patron, shop, camp, teleporter, or another element?",,,,,,
MR91119257-005,E006,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000025_0000079000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000026_0000080000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000027_0000082500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000028_0000085000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000029_0000086000ms.png,directly_visible,Does the target belong to Archmother or Hidden King?,,,,,,
MR91119257-005,E006,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000025_0000079000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000026_0000080000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000027_0000082500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000028_0000085000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000029_0000086000ms.png,directly_visible,"Is this the Green, Blue, or Yellow lane?",,,,,,
MR91119257-005,E006,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000025_0000079000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000026_0000080000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000027_0000082500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000028_0000085000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000029_0000086000ms.png,directly_visible,Is the target identity visually confirmed or only inferred from route order?,,,,,,
MR91119257-005,E006,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000025_0000079000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000026_0000080000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000027_0000082500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000028_0000085000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000029_0000086000ms.png,directly_visible,Does the frame independently support the annotation?,,,,,,
MR91119257-005,E006,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000025_0000079000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000026_0000080000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000027_0000082500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000028_0000085000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000029_0000086000ms.png,directly_visible,Does the frame support a side/lane alias?,,,,,,
MR91119257-006,E009,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000040_0000134000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000041_0000135000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000042_0000137500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000043_0000140000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000044_0000141000ms.png,directly_visible,"Is the target Guardian, Walker, base structure, Patron, shop, camp, teleporter, or another element?",,,,,,
MR91119257-006,E009,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000040_0000134000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000041_0000135000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000042_0000137500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000043_0000140000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000044_0000141000ms.png,directly_visible,Does the target belong to Archmother or Hidden King?,,,,,,
MR91119257-006,E009,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000040_0000134000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000041_0000135000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000042_0000137500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000043_0000140000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000044_0000141000ms.png,directly_visible,"Is this the Green, Blue, or Yellow lane?",,,,,,
MR91119257-006,E009,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000040_0000134000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000041_0000135000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000042_0000137500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000043_0000140000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000044_0000141000ms.png,directly_visible,Is the target identity visually confirmed or only inferred from route order?,,,,,,
MR91119257-006,E009,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000040_0000134000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000041_0000135000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000042_0000137500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000043_0000140000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000044_0000141000ms.png,directly_visible,Does the frame independently support the annotation?,,,,,,
MR91119257-006,E009,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000040_0000134000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000041_0000135000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000042_0000137500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000043_0000140000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000044_0000141000ms.png,directly_visible,Does the frame support a side/lane alias?,,,,,,
MR91119257-007,E013,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000060_0000204000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000061_0000205000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000062_0000207500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000063_0000210000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000064_0000211000ms.png,directly_visible,"Is the target Guardian, Walker, base structure, Patron, shop, camp, teleporter, or another element?",,,,,,
MR91119257-007,E013,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000060_0000204000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000061_0000205000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000062_0000207500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000063_0000210000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000064_0000211000ms.png,directly_visible,Does the target belong to Archmother or Hidden King?,,,,,,
MR91119257-007,E013,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000060_0000204000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000061_0000205000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000062_0000207500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000063_0000210000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000064_0000211000ms.png,directly_visible,"Is this the Green, Blue, or Yellow lane?",,,,,,
MR91119257-007,E013,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000060_0000204000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000061_0000205000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000062_0000207500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000063_0000210000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000064_0000211000ms.png,directly_visible,Is the target identity visually confirmed or only inferred from route order?,,,,,,
MR91119257-007,E013,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000060_0000204000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000061_0000205000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000062_0000207500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000063_0000210000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000064_0000211000ms.png,directly_visible,Does the frame independently support the annotation?,,,,,,
MR91119257-007,E013,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000060_0000204000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000061_0000205000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000062_0000207500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000063_0000210000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000064_0000211000ms.png,directly_visible,Does the frame support a side/lane alias?,,,,,,
MR91119257-008,E014,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000065_0000214000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000066_0000215000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000067_0000217500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000068_0000220000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000069_0000221000ms.png,directly_visible,"Is the target Guardian, Walker, base structure, Patron, shop, camp, teleporter, or another element?",,,,,,
MR91119257-008,E014,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000065_0000214000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000066_0000215000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000067_0000217500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000068_0000220000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000069_0000221000ms.png,directly_visible,Does the target belong to Archmother or Hidden King?,,,,,,
MR91119257-008,E014,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000065_0000214000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000066_0000215000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000067_0000217500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000068_0000220000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000069_0000221000ms.png,directly_visible,"Is this the Green, Blue, or Yellow lane?",,,,,,
MR91119257-008,E014,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000065_0000214000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000066_0000215000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000067_0000217500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000068_0000220000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000069_0000221000ms.png,directly_visible,Is the target identity visually confirmed or only inferred from route order?,,,,,,
